1600000US0654652,0654652,"Oxnard city, California",198484,44
1600000US0655156,0655156,"Palmdale city, California",152944,42
1600000US0656000,0656000,"Pasadena city, California",137294,52
1600000US0656700,0656700,"Perris city, California",68816,31
1600000US0657456,0657456,"Pittsburg city, California",63510,60
1600000US0657792,0657792,"Pleasanton city, California",70456,28
1600000US0658072,0658072,"Pomona city, California",149225,56
1600000US0659451,0659451,"Rancho Cucamonga city, California",165858,35
1600000US0659920,0659920,"Redding city, California",89901,30
1600000US0659962,0659962,"Redlands city, California",68994,32
1600000US0660018,0660018,"Redondo Beach city, California",66825,26
1600000US0660102,0660102,"Redwood City city, California",77013,55
1600000US0660466,0660466,"Rialto city, California",99530,32
1600000US0660620,0660620,"Richmond city, California",104059,72
1600000US0662000,0662000,"Riverside city, California",305707,88
1600000US0662938,0662938,"Roseville city, California",119335,35
1600000US0664000,0664000,"Sacramento city, California",467503,110
1600000US0664224,0664224,"Salinas city, California",151031,70
1600000US0665000,0665000,"San Bernardino city, California",210670,61
1600000US0665042,0665042,"San Buenaventura city, California",106730,37
1600000US0666000,0666000,"San Diego city, California",1311886,86
1600000US0667000,0667000,"San Francisco city, California",805463,
1600000US0668000,0668000,"San Jose city, California",949197,102
1600000US0668084,0668084,"San Leandro city, California",85159,35
1600000US0668196,0668196,"San Marcos city, California",84079,32
1600000US0668252,0668252,"San Mateo city, California",97461,83
1600000US0668378,0668378,"San Ramon city, California",72404,40
1600000US0669000,0669000,"Santa Ana city, California",325483,46
1600000US0669070,0669070,"Santa Barbara city, California",88579,38
1600000US0669084,0669084,"Santa Clara city, California",116864,39
1600000US0669088,0669088,"Santa Clarita city, California",176535,46
1600000US0669196,0669196,"Santa Maria city, California",99747,31
1600000US0670000,0670000,"Santa Monica city, California",89861,71
1600000US0670098,0670098,"Santa Rosa city, California",168244,37
1600000US0672016,0672016,"Simi Valley city, California",124596,33
1600000US0673080,0673080,"South Gate city, California",94503,42
1600000US0675000,0675000,"Stockton city, California",292747,49
1600000US0677000,0677000,"Sunnyvale city, California",140549,48
1600000US0678120,0678120,"Temecula city, California",100751,74
1600000US0678582,0678582,"Thousand Oaks city, California",127041,38
1600000US0680000,0680000,"Torrance city, California",145618,35
1600000US0680238,0680238,"Tracy city, California",83223,29
1600000US0680812,0680812,"Turlock city, California",68663,31
1600000US0680854,0680854,"Tustin city, California",75769,49
1600000US0681204,0681204,"Union City city, California",69696,36
1600000US0681344,0681344,"Upland city, California",73991,39
1600000US0681554,0681554,"Vacaville city, California",92623,35
1600000US0681666,0681666,"Vallejo city, California",116217,50
1600000US0682590,0682590,"Victorville city, California",116305,38
1600000US0682954,0682954,"Visalia city, California",124866,30
1600000US0682996,0682996,"Vista city, California",94170,43
1600000US0684200,0684200,"West Covina city, California",106221,36
1600000US0684550,0684550,"Westminster city, California",89971,49
1600000US0685292,0685292,"Whittier city, California",85433,31
1600000US0686832,0686832,"Yorba Linda city, California",64414,40
1600000US0803455,0803455,"Arvada city, Colorado",107604,2957
1600000US0804000,0804000,"Aurora city, Colorado",326719,119
1600000US0807850,0807850,"Boulder city, Colorado",97585,51
1600000US0812815,0812815,"Centennial city, Colorado",100909,39
1600000US0816000,0816000,"Colorado Springs city, Colorado",419586,45
1600000US0820000,0820000,"Denver city, Colorado",604414,
1600000US0827425,0827425,"Fort Collins city, Colorado",144453,33
1600000US0832155,0832155,"Greeley city, Colorado",93389,53
1600000US0836410,0836410,"Highlands Ranch CDP, Colorado",95503,4861
1600000US0843000,0843000,"Lakewood city, Colorado",143230,59
1600000US0845970,0845970,"Longmont city, Colorado",86429,35
1600000US0846465,0846465,"Loveland city, Colorado",67100,43
1600000US0862000,0862000,"Pueblo city, Colorado",106865,20
1600000US0877290,0877290,"Thornton city, Colorado",119324,67
1600000US0883835,0883835,"Westminster city, Colorado",106518,72
1600000US0908000,0908000,"Bridgeport city, Connecticut",144521,31
1600000US0918430,0918430,"Danbury city, Connecticut",81043,45
1600000US0937000,0937000,"Hartford city, Connecticut",124847,46
1600000US0950370,0950370,"New Britain city, Connecticut",73247,28
1600000US0952000,0952000,"New Haven city, Connecticut",129849,32
1600000US0955990,0955990,"Norwalk city, Connecticut",85793,51
1600000US0973000,0973000,"Stamford city, Connecticut",122902,37
1600000US0980000,0980000,"Waterbury city, Connecticut",110430,30
1600000US1077580,1077580,"Wilmington city, Delaware",70921,30
1600000US1150000,1150000,"Washington city, District of Columbia",604453,
1600000US1200410,1200410,"Alafaya CDP, Florida",84809,8197
1600000US1207300,1207300,"Boca Raton city, Florida",84604,40
1600000US1207875,1207875,"Boynton Beach city, Florida",68380,37
1600000US1208150,1208150,"Brandon CDP, Florida",102939,9040
1600000US1210275,1210275,"Cape Coral city, Florida",154668,42
1600000US1212875,1212875,"Clearwater city, Florida",107697,50
1600000US1214400,1214400,"Coral Springs city, Florida",121492,54
1600000US1216475,1216475,"Davie town, Florida",92290,40
1600000US1216725,1216725,"Deerfield Beach city, Florida",75245,48
1600000US1217200,1217200,"Deltona city, Florida",85183,53
1600000US1224000,1224000,"Fort Lauderdale city, Florida",166039,36
1600000US1224125,1224125,"Fort Myers city, Florida",62429,30
1600000US1225175,1225175,"Gainesville city, Florida",124433,31
1600000US1230000,1230000,"Hialeah city, Florida",225461,83
1600000US1232000,1232000,"Hollywood city, Florida",141202,57
1600000US1235000,1235000,"Jacksonville city, Florida",823316,21
1600000US1236100,1236100,"Kendall CDP, Florida",82561,7827
1600000US1238250,1238250,"Lakeland city, Florida",97530,37
1600000US1239425,1239425,"Largo city, Florida",77663,33
1600000US1239550,1239550,"Lauderhill city, Florida",67100,30
1600000US1239925,1239925,"Lehigh Acres CDP, Florida",88196,8148
1600000US1243975,1243975,"Melbourne city, Florida",76083,51
1600000US1245000,1245000,"Miami city, Florida",400892,55
1600000US1245025,1245025,"Miami Beach city, Florida",88110,64
1600000US1245060,1245060,"Miami Gardens city, Florida",107559,36
1600000US1245975,1245975,"Miramar city, Florida",122438,52
1600000US1253000,1253000,"Orlando city, Florida",239037,57
1600000US1254000,1254000,"Palm Bay city, Florida",103225,37
1600000US1254200,1254200,"Palm Coast city, Florida",77473,2618
1600000US1255775,1255775,"Pembroke Pines city, Florida",155252,64
1600000US1257425,1257425,"Plantation city, Florida",85217,33
1600000US1258050,1258050,"Pompano Beach city, Florida",100154,33
1600000US1258715,1258715,"Port St. Lucie city, Florida",165153,54
1600000US1260950,1260950,"Riverview CDP, Florida",66415,7344
1600000US1263000,1263000,"St. Petersburg city, Florida",244818,40
1600000US1268350,1268350,"Spring Hill CDP, Florida",97103,4582
1600000US1269700,1269700,"Sunrise city, Florida",84717,45
1600000US1270600,1270600,"Tallahassee city, Florida",181734,40
1600000US1271000,1271000,"Tampa city, Florida",336945,46
1600000US1272145,1272145,"Town 'n' Country CDP, Florida",81175,7951
1600000US1276582,1276582,"Weston city, Florida",65528,51
1600000US1276600,1276600,"West Palm Beach city, Florida",100175,53
1600000US1301052,1301052,"Albany city, Georgia",78971,2697
1600000US1303440,1303440,"Athens-Clarke County, Georgia",115465,396
1600000US1304000,1304000,"Atlanta city, Georgia",422338,34
1600000US1304204,1304204,"Augusta-Richmond County, Georgia",196386,1768
1600000US1319000,1319000,"Columbus city, Georgia",190417,
1600000US1342425,1342425,"Johns Creek city, Georgia",77207,35
1600000US1349000,1349000,"Macon city, Georgia",91524,669
1600000US1367284,1367284,"Roswell city, Georgia",88908,37
1600000US1368516,1368516,"Sandy Springs city, Georgia",94441,26
1600000US1369000,1369000,"Savannah city, Georgia",136651,38
1600000US1380508,1380508,"Warner Robins city, Georgia",66757,231
1600000US1571550,1571550,"Urban Honolulu CDP, Hawaii",338909,11382
1600000US1608830,1608830,"Boise City city, Idaho",206286,32
1600000US1652120,1652120,"Meridian city, Idaho",75324,33
1600000US1656260,1656260,"Nampa city, Idaho",81781,34
1600000US1702154,1702154,"Arlington Heights village, Illinois",77009,2063
1600000US1703012,1703012,"Aurora city, Illinois",193582,6636
1600000US1706613,1706613,"Bloomington city, Illinois",76730,25
1600000US1707133,1707133,"Bolingbrook village, Illinois",73027,3475
1600000US1712385,1712385,"Champaign city, Illinois",81164,42
1600000US1714000,1714000,"Chicago city, Illinois",2698831,46
1600000US1714351,1714351,"Cicero town, Illinois",84002,33
1600000US1718823,1718823,"Decatur city, Illinois",76268,2617
1600000US1723074,1723074,"Elgin city, Illinois",108273,3511
1600000US1724582,1724582,"Evanston city, Illinois",74549,70
1600000US1738570,1738570,"Joliet city, Illinois",150856,4905
1600000US1751622,1751622,"Naperville city, Illinois",141483,1427
1600000US1757225,1757225,"Palatine village, Illinois",68596,29
1600000US1759000,1759000,"Peoria city, Illinois",114966,1653
1600000US1765000,1765000,"Rockford city, Illinois",152220,2382
1600000US1768003,1768003,"Schaumburg village, Illinois",73279,2120
1600000US1770122,1770122,"Skokie village, Illinois",64861,27
1600000US1772000,1772000,"Springfield city, Illinois",116188,261
1600000US1779293,1779293,"Waukegan city, Illinois",87729,3969
1600000US1805860,1805860,"Bloomington city, Indiana",81096,2373
1600000US1810342,1810342,"Carmel city, Indiana",79447,1319
1600000US1822000,1822000,"Evansville city, Indiana",115833,2830
1600000US1823278,1823278,"Fishers town, Indiana",77579,2464
1600000US1825000,1825000,"Fort Wayne city, Indiana",253696,4094
1600000US1827000,1827000,"Gary city, Indiana",80840,562
1600000US1831000,1831000,"Hammond city, Indiana",80812,60
1600000US1836003,1836003,"Indianapolis city, Indiana",824199,3852
1600000US1840788,1840788,"Lafayette city, Indiana",65261,2865
1600000US1851876,1851876,"Muncie city, Indiana",68651,1257
1600000US1871000,1871000,"South Bend city, Indiana",107072,3142
1600000US1912000,1912000,"Cedar Rapids city, Iowa",126498,37
1600000US1919000,1919000,"Davenport city, Iowa",100068,58
1600000US1921000,1921000,"Des Moines city, Iowa",204196,68
1600000US1938595,1938595,"Iowa City city, Iowa",68027,28
1600000US1973335,1973335,"Sioux City city, Iowa",82378,1949
1600000US1982425,1982425,"Waterloo city, Iowa",68472,27
1600000US2036000,2036000,"Kansas City city, Kansas",147798,2121
1600000US2038900,2038900,"Lawrence city, Kansas",92718,2554
1600000US2052575,2052575,"Olathe city, Kansas",126256,46
1600000US2053775,2053775,"Overland Park city, Kansas",173909,45
1600000US2071000,2071000,"Topeka city, Kansas",127727,37
